序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
78,高雄市,左營區,左營,2017/06/25,"懸浮微粒 PM 10  (μg/m 3 )",28,26,24,28,26,34,33,28,17,16,25,23,28,18,28,21,30,23,30,26,32,28,27,22
79,高雄市,左營區,左營,2017/06/25,"甲烷 CH4 (ppm)",1.8,1.8,1.8,1.8,1.9,2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
80,高雄市,左營區,左營,2017/06/25,"風速 WIND_SPEED (m/sec)",0.9,0.9,0.6,0.5,1.7,1.1,1.3,2,2.4,3,3,3.2,3.7,2.7,3.5,2.9,3.2,2.7,2.3,1.8,1.7,1.4,1.5,1.9
81,高雄市,左營區,左營,2017/06/25,"溫度 AMB_TEMP (℃)",30,29,29,29,29,29,30,30,31,32,32,32,32,32,32,32,32,31,31,30,30,30,30,30
82,高雄市,左營區,左營,2017/06/25,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,2,2.5,2,1.9,1.8,1.8,2,1.9,2,1.9,2.2,2.4,2.1,2.1,2,2,2.1,2.1,2.1,2
83,高雄市,左營區,左營,2017/06/25,"小時風速值 WS_HR (m/sec)",0.9,0.6,0.6,0.4,1.2,1.2,1.1,0.7,1.1,1.9,2.5,2.5,3.1,3.5,3,2.5,2.5,2.7,1.9,1.4,1.5,1.3,1.2,1.2
84,高雄市,左營區,左營,2017/06/25,"小時風向值 WD_HR (degrees)",296,310,303,348,38,33,45,313,304,292,304,297,294,291,287,276,275,277,267,265,247,246,242,251
85,高雄市,左營區,左營,2017/06/25,"二氧化硫 SO2 (ppb)",3.7,2.3,2.3,2.1,2.7,7,3.5,2.6,2.5,2.5,2,1.9,2.1,1.8,2.3,2.8,2,1.7,1.7,2.2,2.1,2.5,2.1,2.3
86,高雄市,左營區,左營,2017/06/23,"氮氧化物 NOx (ppb)",9,8.8,7.3,6.3,13,24,25,11,7.2,8.8,8,8.4,6.1,6.5,7.6,9.2,7.6,8.9,8.4,9.8,8.8,11,17,14
87,高雄市,左營區,左營,2017/06/23,"風向 WIND_DIREC (degrees)",325,285,291,321,335,13,309,303,293,299,213,290,258,248,272,271,293,264,314,328,341,29,327,263
